kana,kanji,pos,desc,word,lesson,idx
キリストきょうしきけっこんしき                      , ～教式結婚式                                 , 名词     , 基督教式婚礼                               , !～教式結婚式(キリストきょうしきけっこんしき)                         , 162 , 1
じんぜんけっこんしき                                , 人前結婚式                                   , 名词     , 人前式婚礼                                 , !人前結婚式(じんぜんけっこんしき)                                     , 162 , 1
しんじゃ                                            , 信者                                         , 名词     , 信徒，教徒；崇拜者                         , !信者(しんじゃ)                                                       , 162 , 1
かぎる                                              , 限る                                         , 动1      , 限于，只限；限定，限制                     , !限(かぎ)る                                                         , 162 , 1
ウエディングドレス                                  ,                                              , 名词     , 婚纱，女式结婚礼服                         , ウエディングドレス                                                    , 162 , 1
きょしきする                                        , 挙式                                         , 动3      , 举行（结婚）仪式                           , !挙式(きょしきする)                                                   , 162 , 1
このみ                                              , 好み                                         , 名词     , 喜好，爱好，口味                           , !好(この)み                                                         , 162 , 1
しゅうきょう                                        , 宗教                                         , 名词     , 宗教                                       , !宗教(しゅうきょう)                                                   , 162 , 1
しょうすう                                          , 少数                                         , 名词     , 少数                                       , !少数(しょうすう)                                                     , 162 , 1
けっこんしきじょう                                  , 結婚式場                                     , 名词     , 婚礼会场                                   , !結婚式場(けっこんしきじょう)                                         , 162 , 1
しめる                                              , 占める                                       , 动2      , 占，占据；占领                             , !占(し)める                                                       , 162 , 1
～ぶんの～                                          , ～分の～                                     ,          , ～分之～                                   , !～分の～(～ぶんの～)                                                 , 162 , 1
かっこいい                                          ,                                              , 形容词   , 帅气，真帅；真棒                           , かっこいい                                                            , 162 , 1
つとめる                                            , 務める                                       , 动2      , 担任；当，扮演                             , !務(つと)める                                                     , 162 , 1
とげ                                                ,                                              , 名词     , 刺；（说话）尖酸，带刺                     , とげ                                                                  , 162 , 1
どく                                                , 毒                                           , 名词     , 毒，毒物                                   , !毒(どく)                                                             , 162 , 1
ゆうこう                                            , 有効                                         , 形容动词 , 有效                                       , !有効(ゆうこう)                                                       , 162 , 1
ないこうてき                                        , 内向的                                       , 形容动词 , 内向                                       , !内向的(ないこうてき)                                                 , 162 , 1
