kana,kanji,pos,desc,word,lesson,idx
であい                                              , 出会い                                       , 名词     , 相遇                                       , !出会(であ)い                                                       , 11  , 1
たすかる                                            , 助かる                                       , 动1      , 获得帮助；得救                             , !助(たす)かる                                                     , 11  , 1
すっかり                                            ,                                              , 副词     , 完全，彻底                                 , すっかり                                                              , 11  , 1
まち                                                , 街                                           , 名词     , 街道；城镇                                 , !街(まち)                                                             , 11  , 1
へんか                                              , 変化                                         , 名词     , 变化                                       , !変化(へんか)                                                         , 11  , 1
ついていく                                          ,                                              , 动1      , 跟上，跟上去                               , ついていく                                                            , 11  , 1
こうそう                                            , 高層                                         , 名词     , 高层                                       , !高層(こうそう)                                                       , 11  , 1
こうそうピル                                        , 高層～                                       , 名词     , 高楼，大厦                                 , !高層～(こうそうピル)                                                 , 11  , 1
へん                                                , 辺                                           , 名词     , 一带，附近                                 , !辺(へん)                                                             , 11  , 1
ニューヨーク                                        ,                                              , 专有词   , 纽约                                       , ニューヨーク                                                          , 11  , 1
しつれいですが                                      , 失礼ですが                                   , 惯用语   , 对不起                                     , !失礼(しつれい)ですが                                           , 11  , 1
かんじがします                                      , 感じがします                                 , 惯用语   , 感觉，觉得                                 , !感(かん)じがします                                         , 11  , 1
てんきんになる                                      , 転勤になる                                   , 惯用语   , 调动工作，调换工作地点                     , !転勤(てんきん)になる                                           , 11  , 1
ちょっと                                            ,                                              , 副词     , 哎，劳驾；有点，稍微；有点儿… ，不太…      , ちょっと                                                              , 11  , 1
おじさん                                            ,                                              , 名词     , 大爷，大叔；伯伯，叔叔，舅舅               , おじさん                                                              , 11  , 1
おねえさん                                          , お姉さん                                     , 名词     , 姐姐                                       , お!姉(ねえ)さん                                                 , 11  , 1
じどうドア                                          , 自動～                                       , 名词     , 自动门                                     , !自動～(じどうドア)                                                   , 11  , 1
めざましどけい                                      , 目覚まし時計                                 , 名词     , 闹钟                                       , !目覚まし時計(めざましどけい)                                         , 11  , 1
おとうさん                                          , お父さん                                     , 名词     , 父亲，爸爸                                 , お!父(とう)さん                                                 , 11  , 1
ふしぎ                                              , 不思議                                       , 形容动词 , 不可思议，奇怪                             , !不思議(ふしぎ)                                                       , 11  , 1
えきべん                                            , 駅弁                                         , 名词     , 车站卖的盒饭                               , !駅弁(えきべん)                                                       , 11  , 1
あめ                                                ,                                              , 名词     , 糖                                         , あめ                                                                  , 11  , 1
なめる                                              ,                                              , 动2      , 舔，含                                     , なめる                                                                , 11  , 1
ちゅうがっこう                                      , 中学校                                       , 名词     , 初级中学，初中                             , !中学校(ちゅうがっこう)                                               , 11  , 1
テスト                                              ,                                              , 名词     , 考试，测验，测试                           , テスト                                                                , 11  , 1
なみだ                                              , 涙                                           , 名词     , 眼泪，泪                                   , !涙(なみだ)                                                           , 11  , 1
しゅと                                              , 首都                                         , 名词     , 首都                                       , !首都(しゅと)                                                         , 11  , 1
きゅうきゅうしゃ                                    , 救急車                                       , 名词     , 急救车，救护车                             , !救急車(きゅうきゅうしゃ)                                             , 11  , 1
ふた                                                ,                                              , 名词     , 盖子，盖                                   , ふた                                                                  , 11  , 1
ひろげる                                            , 広げる                                       , 动2      , 展开，扩大，扩展                           , !広(ひろ)げる                                                     , 11  , 1
わく                                                , 沸く                                         , 动1      , 沸腾，烧开                                 , !沸(わ)く                                                           , 11  , 1
わかす                                              , 沸かす                                       , 动1      , 烧热，烧开                                 , !沸(わ)かす                                                       , 11  , 1
タオル                                              ,                                              , 名词     , 毛巾                                       , タオル                                                                , 11  , 1
かわかす                                            , 乾かす                                       , 名词     , 弄干，晾干                                 , !乾(かわ)かす                                                     , 11  , 1
シャンハイほけん                                    , 上海保険                                     , 专有词   , 上海保险公司                               , !上海保険(シャンハイほけん)                                           , 11  , 1
おおかわ                                            , 大川                                         , 专有词   , 大川                                       , !大川(おおかわ)                                                       , 11  , 1
スペインたいしかん                                  , ～大使館                                     , 专有词   , 西班牙大使馆                               , !～大使館(スペインたいしかん)                                         , 11  , 1
シャンハイコンス                                    , 上海公司                                     , 专有词   , 上海公司                                   , !上海公司(シャンハイコンス)                                           , 11  , 1
アフリカ                                            ,                                              , 专有词   , 非洲                                       , アフリカ                                                              , 11  , 1
ながさき                                            , 長崎                                         , 专有词   , 长崎                                       , !長崎(ながさき)                                                       , 11  , 1
ぼくじょう                                          , 牧場                                         , 名词     , 牧场                                       , !牧場(ぼくじょう)                                                     , 11  , 1
あたり                                              , 辺り                                         , 名词     , 周围，附近                                 , !辺(あた)り                                                         , 11  , 1
してつ                                              , 私鉄                                         , 名词     , 私营铁路                                   , !私鉄(してつ)                                                         , 12  , 1
こうえい                                            , 公営                                         , 名词     , 公营                                       , !公営(こうえい)                                                       , 12  , 1
ジャパンレールウェイズ                              ,                                              , 专有词   , 日本铁路                                   , ジャパンレールウェイズ                                                , 12  , 1
りゃく                                              , 略                                           , 名词     , 略．简略                                   , !略(りゃく)                                                           , 12  , 1
こくえい                                            , 国営                                         , 名词     , 国营                                       , !国営(こくえい)                                                       , 12  , 1
みんえい                                            , 民営                                         , 名词     , 民营                                       , !民営(みんえい)                                                       , 12  , 1
ろせん                                              , 路線                                         , 名词     , 线路                                       , !路線(ろせん)                                                         , 12  , 1
しゅよう                                            , 主要                                         , 形容动词 , 主要                                       , !主要(しゅよう)                                                       , 12  , 1
とし                                                , 都市                                         , 名词     , 城市．都市                                 , !都市(とし)                                                           , 12  , 1
じそく                                              , 時速                                         , 名词     , 时速                                       , !時速(じそく)                                                         , 12  , 1
とうかいどう                                        , 東海道                                       , 专有词   , 东海道                                     , !東海道(とうかいどう)                                                 , 12  , 1
さんよう                                            , 山陽                                         , 专有词   , 山阳                                       , !山陽(さんよう)                                                       , 12  , 1
とうほく                                            , 東北                                         , 专有词   , 东北                                       , !東北(とうほく)                                                       , 12  , 1
きゅうしゅう                                        , 九州                                         , 专有词   , 九州                                       , !九州(きゅうしゅう)                                                   , 12  , 1
のびる                                              , 延びる                                       , 动2      , 延伸，延长                                 , !延(の)びる                                                       , 12  , 1
みんかん                                            , 民間                                         , 名词     , 民间                                       , !民間(みんかん)                                                       , 12  , 1
けいえいする                                        , 経営～                                       , 动3      , 经营                                       , !経営(けいえい)する                                                 , 12  , 1
また                                                ,                                              , 连接词   , 另外．又．再．也                           , また                                                                  , 12  , 1
ちほうじちたい                                      , 地方自治体                                   , 名词     , 地方自治团体                               , !地方自治体(ちほうじちたい)                                           , 12  , 1
じつよう                                            , 実用                                         , 名词     , 实用                                       , !実用(じつよう)                                                       , 12  , 1
うんこう                                            , 運行                                         , 名词     , 运行                                       , !運行(うんこう)                                                       , 12  , 1
ほうこう                                            , 方向                                         , 名词     , 方向                                       , !方向(ほうこう)                                                       , 12  , 1
あらわす                                            , 表す                                         , 形容动词 , 表示，表现，表达                           , !表(あらわ)す                                                       , 12  , 1
のぼり                                              , 上り                                         , 名词     , 上，上行                                   , !上(のぼ)り                                                         , 12  , 1
くだり                                              , 下り                                         , 名词     , 下．下行                                   , !下(くだ)り                                                         , 12  , 1
ほんしゅう                                          , 本州                                         , 专有词   , 本州                                       , !本州(ほんしゅう)                                                     , 12  , 1
ちほう                                              , 地方                                         , 名词     , 地方                                       , !地方(ちほう)                                                         , 12  , 1
ほうめん                                            , 方面                                         , 名词     , 方向，方面                                 , !方面(ほうめん)                                                       , 12  , 1
こんな                                              ,                                              , 形容动词 , 这样的                                     , こんな                                                                , 12  , 1
なぞなぞ                                            ,                                              , 名词     , 谜语                                       , なぞなぞ                                                              , 12  , 1
こたえ                                              , 答え                                         , 名词     , 回答．答案                                 , !答(こた)え                                                         , 12  , 1
ゴンバオシャーレン                                  , 宮保蝦仁                                     , 名词     , 宫保虾仁                                   , !宮保蝦仁(ゴンバオシャーレン)                                         , 12  , 1
エビ                                                ,                                              , 名词     , 虾仁，虾                                   , エビ                                                                  , 12  , 1
ビーナッツ                                          ,                                              , 名词     , 花生米                                     , ビーナッツ                                                            , 12  , 1
とうがらし                                          , 唐辛子                                       , 名词     , 辣椒                                       , !唐辛子(とうがらし)                                                   , 12  , 1
いためる                                            , 炒める                                       , 动2      , 炒                                         , !炒(いた)める                                                     , 12  , 1
おせちりょうり                                      , ～料理                                       , 名词     , 新年饭菜                                   , !～料理(おせちりょうり)                                               , 12  , 1
しょうがつ                                          , 正月                                         , 名词     , 正月；新年                                 , !正月(しょうがつ)                                                     , 12  , 1
おいわい                                            , お祝い                                       , 名词     , 庆贺，祝贺                                 , お!祝(いわ)い                                                     , 12  , 1
こううん                                            , 幸運                                         , 名词     , 幸运．好运，侥幸                           , !幸運(こううん)                                                       , 12  , 1
おとずれる                                          , 訪れる                                       , 动2      , 到来．来临．访问                           , !訪(おとず)れる                                                   , 12  , 1
そだてる                                            , 育てる                                       , 动2      , 养育，抚育，培养                           , !育(そだ)てる                                                     , 12  , 1
こくさい                                            , 国際                                         , 名词     , 国际                                       , !国際(こくさい)                                                       , 12  , 1
しょうきょくてき                                    , 消極的                                       , 形容动词 , 消极，负面                                 , !消極的(しょうきょくてき)                                             , 12  , 1
せっきょくてき                                      , 積極的                                       , 形容动词 , 积极．正面                                 , !積極的(せっきょくてき)                                               , 12  , 1
ちゅうしょうてき                                    , 抽象的                                       , 形容动词 , 抽象                                       , !抽象的(ちゅうしょうてき)                                             , 12  , 1
アジア                                              ,                                              , 专有词   , 亚洲                                       , アジア                                                                , 12  , 1
ひも                                                ,                                              , 名词     , 带（子），细绳                             , ひも                                                                  , 12  , 1
おもいで                                            , 思い出                                       , 名词     , 回忆；往事                                 , !思い出(おもいで)                                                     , 12  , 1
かせき                                              , 化石                                         , 名词     , 化石                                       , !化石(かせき)                                                         , 12  , 1
げんだい                                            , 現代                                         , 名词     , 现代，现今．当代                           , !現代(げんだい)                                                       , 12  , 1
じけん                                              , 事件                                         , 名词     , 事件．案件                                 , !事件(じけん)                                                         , 12  , 1
かねもち                                            , 金持ち                                       , 名词     , 有钱人．富人                               , !金持(かねも)ち                                                     , 12  , 1
しんぽ                                              , 進歩                                         , 名词     , 进步                                       , !進歩(しんぽ)                                                         , 12  , 1
かんげき                                            , 感激                                         , 名词     , 感激，感动                                 , !感激(かんげき)                                                       , 12  , 1
きんだい                                            , 近代                                         , 名词     , 近代．现代                                 , !近代(きんだい)                                                       , 12  , 1
でんし                                              , 電子                                         , 名词     , 电子                                       , !電子(でんし)                                                         , 12  , 1
こうれい                                            , 高齢                                         , 名词     , 高龄，老龄                                 , !高齢(こうれい)                                                       , 12  , 1
デジタル                                            ,                                              , 名词     , 数码，数字                                 , デジタル                                                              , 12  , 1
アイティー                                          , IT                                           , 名词     , IT ．电子技术                              , !IT(アイティー)                                                       , 12  , 1
けんせつする                                        , 建設～                                       , 动3      , 修建，建设                                 , !建設(けんせつ)する                                                 , 12  , 1
のぼる                                              , 上る                                         , 动1      , 上，登；进京                               , !上(のぼ)る                                                         , 12  , 1
くだる                                              , 下る                                         , 动1      , 下，下去：到地方去                         , !下(くだ)る                                                         , 12  , 1
つうこうどめ                                        , 通行止め                                     , 名词     , 禁止通行                                   , !通行止(つうこうど)め                                               , 12  , 1
このような                                          ,                                              , 连接词   , 像这样的                                   , このような                                                            , 12  , 1
これら                                              ,                                              , 代词     , 这些                                       , これら                                                                , 12  , 1
ひみつ                                              , 秘密                                         , 名词     , 秘密                                       , !秘密(ひみつ)                                                         , 12  , 1
こくさい れんごう                                   , 国際連合                                     , 专有词   , 联合国                                     , !国際連合(こくさい れんごう)                                          , 12  , 1
こくれん                                            , 国連                                         , 专有词   , 联合国                                     , !国連(こくれん)                                                       , 12  , 1
ぜんこくじんみんだいひょうたいかい                  , 全国人民代表大会                             , 专有词   , 全国人民代表大会                           , !全国人民代表大会(ぜんこくじんみんだいひょうたいかい)                 , 12  , 1
ぜんじんだい                                        , 全人代                                       , 专有词   , 全国人民代表大会                           , !全人代(ぜんじんだい)                                                 , 12  , 1
ダブリューティーオー                                , WTO                                          , 专有词   , WTO．世界贸易组织                          , !WTO(ダブリューティーオー)                                            , 12  , 1
せかいぼうえききかん                                , 世界貿易機関                                 , 专有词   , 世界贸易组织                               , !世界貿易機関(せかいぼうえききかん)                                   , 12  , 1
レール                                              ,                                              , 名词     , 铁轨．钢轨．轨道                           , レール                                                                , 12  , 1
とく                                                , 溶く                                         , 动1      , 调拌，调开，溶解                           , !溶(と)く                                                           , 12  , 1
けっさく                                            , 傑作                                         , 名词     , 杰作                                       , !傑作(けっさく)                                                       , 12  , 1
すぐれる                                            , 優れる                                       , 动2      , 优秀，卓越                                 , !優(すぐ)れる                                                     , 12  , 1
うんが                                              , 運河                                         , 名词     , 运河                                       , !運河(うんが)                                                         , 12  , 1
こうしゅう                                          , 杭州                                         , 专有词   , 杭州                                       , !杭州(こうしゅう)                                                     , 12  , 1
ながれる                                            , 流れる                                       , 动2      , 流．流动．流淌                             , !流(なが)れる                                                     , 12  , 1
レジャー                                            ,                                              , 名词     , 业余时间的娱乐；余暇．空闲                 , レジャー                                                              , 12  , 1
でんとう                                            , 伝統                                         , 名词     , 传统                                       , !伝統(でんとう)                                                       , 12  , 1
げいのう                                            , 芸能                                         , 名词     , 演艺．文艺，曲艺                           , !芸能(げいのう)                                                       , 12  , 1
よさん                                              , 予算                                         , 名词     , 预算                                       , !予算(よさん)                                                         , 12  , 1
こうか                                              , 効果                                         , 名词     , 功效；效果                                 , !効果(こうか)                                                         , 12  , 1
きょうそう                                          , 競争                                         , 名词     , 竞争                                       , !競争(きょうそう)                                                     , 12  , 1
ほんかく                                            , 本格                                         , 名词     , 正式；原则．正规                           , !本格(ほんかく)                                                       , 12  , 1
ぶんぼうぐ                                          , 文房具                                       , 名词     , 文具                                       , !文房具(ぶんぼうぐ)                                                   , 12  , 1
コショウ                                            ,                                              , 名词     , 胡椒                                       , コショウ                                                              , 12  , 1
ちょうみりょう                                      , 調味料                                       , 名词     , 佐料，调味品                               , !調味料(ちょうみりょう)                                               , 12  , 1
かんきょうほご                                      , 環境保護                                     , 名词     , 环境保护．环保                             , !環境保護(かんきょうほご)                                             , 12  , 1
ちゅうもくする                                      , 注目～                                       , 动3      , 注目．注视                                 , !注目(ちゅうもく)する                                               , 12  , 1
かつどう                                            , 活動                                         , 名词     , 活动                                       , !活動(かつどう)                                                       , 12  , 1
つうしんしゅだん                                    , 通信手段                                     , 名词     , 通讯手段                                   , !通信手段(つうしんしゅだん)                                           , 12  , 1
かもく                                              , 科目                                         , 名词     , 科目                                       , !科目(かもく)                                                         , 12  , 1
おおやま                                            , 大山                                         , 专有词   , 大山                                       , !大山(おおやま)                                                       , 21  , 1
プロジェクト                                        ,                                              , 名词     , 项目，计划，企划                           , プロジェクト                                                          , 21  , 1
ごぶさたする                                        ,                                              , 惯用语   , 好久不见，久疏问候                         , ごぶさたする                                                          , 21  , 1
そのせつ                                            , その節                                       , 名词     , 那时，那次                                 , その!節(せつ)                                                     , 21  , 1
このあいだ                                          , この間                                       , 名词     , 前些天，最近                               , この!間(あいだ)                                                   , 21  , 1
けっこう                                            , 結構                                         , 形容动词 , 很好，优秀；足够；不必                     , !結構(けっこう)                                                       , 21  , 1
さむさ                                              , 寒さ                                         , 名词     , 寒冷                                       , !寒(さむ)さ                                                         , 21  , 1
こおる                                              , 凍る                                         , 动1      , 结冰，结冻                                 , !凍(こお)る                                                         , 21  , 1
よく                                                ,                                              , 副词     , 竟能，居然；好好地；常常                   , よく                                                                  , 21  , 1
へいわ                                              , 平和                                         , 形容动词 , 和平                                       , !平和(へいわ)                                                         , 21  , 1
きゅうか                                            , 休暇                                         , 名词     , 休假，放假                                 , !休暇(きゅうか)                                                       , 21  , 1
サイン                                              ,                                              , 名词     , 签名，签字，署名；暗号，信号               , サイン                                                                , 21  , 1
ゆびわ                                              , 指輪                                         , 名词     , 戒指，指环                                 , !指輪(ゆびわ)                                                         , 21  , 1
わかもの                                            , 若者                                         , 名词     , 年轻人                                     , !若者(わかもの)                                                       , 21  , 1
じゅんちょう                                        , 順調                                         , 形容动词 , 顺利，良好                                 , !順調(じゅんちょう)                                                   , 21  , 1
わかさ                                              , 若さ                                         , 名词     , 年轻                                       , !若(わか)さ                                                         , 21  , 1
なつかしい                                          , 懐かしい                                     , 形容词   , 怀念，留恋                                 , !懐(なつ)かしい                                                 , 21  , 1
いや                                                , 嫌                                           , 形容动词 , 讨厌，厌烦                                 , !嫌(いや)                                                             , 21  , 1
あい                                                , 愛                                           , 名词     , 爱                                         , !愛(あい)                                                             , 21  , 1
ありがたい                                          ,                                              , 形容词   , 珍贵，难得；值得感谢                       , ありがたい                                                            , 21  , 1
ごちそうさまでした                                  , 御ちそう様でした                             , 惯用语   , 谢谢热情款待                               , !御ちそう様(ごちそうさま)でした                                 , 21  , 1
もうしわけありません                                , 申し訳ありません                             , 惯用语   , 对不起，抱歉                               , !申し訳(もうしわけ)ありません                               , 21  , 1
では，これで                                        ,                                              , 惯用语   , 那就这样吧                                 , では，これで                                                          , 21  , 1
れいぎ                                              , 礼儀                                         , 名词     , 礼仪，礼节，礼貌                           , !礼儀(れいぎ)                                                         , 22  , 1
こし                                                , 腰                                           , 名词     , 腰                                         , !腰(こし)                                                             , 22  , 1
かたむける                                          , 傾ける                                       , 动2      , 倾，倾斜；倾注                             , !傾(かたむ)ける                                                   , 22  , 1
かくど                                              , 角度                                         , 名词     , 角度                                       , !角度(かくど)                                                         , 22  , 1
くび                                                , 首                                           , 名词     , 头，脑袋：脖子                             , !首(くび)                                                             , 22  , 1
まげる                                              , 曲げる                                       , 动2      , 弄弯，歪曲                                 , !曲(ま)げる                                                       , 22  , 1
しょたいめん                                        , 初対面                                       , 名词     , 初次见面                                   , !初対面(しょたいめん)                                                 , 22  , 1
めいし                                              , 名刺                                         , 名词     , 名片                                       , !名刺(めいし)                                                         , 22  , 1
うけとる                                            , 受け取る                                     , 动1      , 接，接收，接受                             , !受け取(うけと)る                                                   , 22  , 1
きまり                                              , 決まり                                       , 名词     , 规定，规矩；决定                           , !決(き)まり                                                       , 22  , 1
めうえ                                              , 目上                                         , 名词     , 尊长，上司，长                             , !目上(めうえ)                                                         , 22  , 1
つぎに                                              , 次に                                         , 接续词   , 其次，接着                                 , !次(つぎ)に                                                         , 22  , 1
りょうて                                            , 両手                                         , 名词     , 双手，两手                                 , !両手(りょうて)                                                       , 22  , 1
こじん                                              , 個人                                         , 名词     , 私人，个人                                 , !個人(こじん)                                                         , 22  , 1
ば                                                  , 場                                           , 名词     , 场合；场面；场所                           , !場(ば)                                                               , 22  , 1
とし                                                , 年                                           , 名词     , 年龄，岁数                                 , !年(とし)                                                             , 22  , 1
